book_authors,book_title,genres,comb
Scott Westerfeld,specials,Young Adult Science Fiction Dystopia Science Fiction,Scott Westerfeld specials Young Adult Science Fiction Dystopia Science Fiction
Richelle Mead,the golden lily,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance,Richelle Mead the golden lily Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance
Elizabeth George Speare,the witch of blackbird pond,Historical Historical Fiction Young Adult Fiction Classics Childrens Historical,Elizabeth George Speare the witch of blackbird pond Historical Historical Fiction Young Adult Fiction Classics Childrens Historical
J.R.R. Tolkien Peter Beagle,the two towers,Fantasy Fiction Classics Adventure,J.R.R. Tolkien Peter Beagle the two towers Fantasy Fiction Classics Adventure
Katja Millay,the sea of tranquility,Young Adult Romance Contemporary Sociology Abuse Fiction New Adult Did Not Finish Dark Romance Contemporary Romance Young Adult High School,Katja Millay the sea of tranquility Young Adult Romance Contemporary Sociology Abuse Fiction New Adult Did Not Finish Dark Romance Contemporary Romance Young Adult High School
John Irving,the hotel new hampshire,Fiction Contemporary Literature,John Irving the hotel new hampshire Fiction Contemporary Literature
Terry Pratchett,small gods,Fiction Humor Fantasy Humor Comedy Science Fiction Fantasy,Terry Pratchett small gods Fiction Humor Fantasy Humor Comedy Science Fiction Fantasy
James Frey,a million little pieces,Nonfiction Biography Autobiography Memoir,James Frey a million little pieces Nonfiction Biography Autobiography Memoir
Jules Verne Anthony Bonner,twenty thousand leagues under the sea,Classics Science Fiction Fiction Adventure,Jules Verne Anthony Bonner twenty thousand leagues under the sea Classics Science Fiction Fiction Adventure
Ray Bradbury,dandelion wine,Fiction Classics Science Fiction Fantasy Young Adult,Ray Bradbury dandelion wine Fiction Classics Science Fiction Fantasy Young Adult
Leon Uris,exodus,Historical Historical Fiction Fiction Classics Historical Cultural Israel Literature Jewish,Leon Uris exodus Historical Historical Fiction Fiction Classics Historical Cultural Israel Literature Jewish
Jeaniene Frost,one foot in the grave,Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Paranormal Romance Romance Fantasy,Jeaniene Frost one foot in the grave Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Paranormal Romance Romance Fantasy
Laurell K. Hamilton,guilty pleasures,Fantasy Urban Fantasy Paranormal Vampires Fantasy Fantasy Paranormal Horror Romance,Laurell K. Hamilton guilty pleasures Fantasy Urban Fantasy Paranormal Vampires Fantasy Fantasy Paranormal Horror Romance
Mary Doria Russell,the sparrow,Science Fiction Fiction Fantasy Religion,Mary Doria Russell the sparrow Science Fiction Fiction Fantasy Religion
Jeffrey Archer,kane and abel,Fiction Historical Historical Fiction Thriller Drama,Jeffrey Archer kane and abel Fiction Historical Historical Fiction Thriller Drama
Jandy Nelson,i'll give you the sun,Young Adult Contemporary Lgbt Romance Fiction,Jandy Nelson i'll give you the sun Young Adult Contemporary Lgbt Romance Fiction
Brandon Sanderson,words of radiance,Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy,Brandon Sanderson words of radiance Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy
P.C. Cast Kristin Cast,burned,Young Adult Fantasy Paranormal,P.C. Cast Kristin Cast burned Young Adult Fantasy Paranormal
Lisa Genova,still alice,Fiction Contemporary Psychology Book Club,Lisa Genova still alice Fiction Contemporary Psychology Book Club
Winston Groom,forrest gump,Fiction Humor Historical Historical Fiction Classics Media Tie In Movies,Winston Groom forrest gump Fiction Humor Historical Historical Fiction Classics Media Tie In Movies
Scott Lynch,the lies of locke lamora,Fantasy Fiction Adventure,Scott Lynch the lies of locke lamora Fantasy Fiction Adventure
Charlaine Harris,definitely dead,Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Fiction Mystery,Charlaine Harris definitely dead Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Fiction Mystery
L.J. Smith,"night world, no. 1",Young Adult Paranormal Vampires Fantasy Fantasy Paranormal,"L.J. Smith night world, no. 1 Young Adult Paranormal Vampires Fantasy Fantasy Paranormal"
William Faulkner,"absalom, absalom!",Classics Fiction Literature Literature American,"William Faulkner absalom, absalom! Classics Fiction Literature Literature American"
Kate Morton,the forgotten garden,Fiction Historical Historical Fiction Mystery Historical Cultural Australia Romance Adult Fiction European Literature British Literature Adult Book Club,Kate Morton the forgotten garden Fiction Historical Historical Fiction Mystery Historical Cultural Australia Romance Adult Fiction European Literature British Literature Adult Book Club
Jean-Paul Sartre Lloyd Alexander Hayden Carruth,nausea,Philosophy Fiction Classics Cultural France Literature,Jean-Paul Sartre Lloyd Alexander Hayden Carruth nausea Philosophy Fiction Classics Cultural France Literature
Irving Stone שמואל שניצר,the agony and the ecstasy,Historical Historical Fiction Fiction Art Classics Cultural Italy,Irving Stone שמואל שניצר the agony and the ecstasy Historical Historical Fiction Fiction Art Classics Cultural Italy
Jennifer L. Armentrout,opal,Young Adult Fantasy Paranormal Romance Science Fiction Aliens Fantasy Science Fiction,Jennifer L. Armentrout opal Young Adult Fantasy Paranormal Romance Science Fiction Aliens Fantasy Science Fiction
Robert Frost Edward Connery Lathem,"the poetry of robert frost (collected poems, complete & unabridged)",Poetry Classics Fiction Literature,"Robert Frost Edward Connery Lathem the poetry of robert frost (collected poems, complete & unabridged) Poetry Classics Fiction Literature"
Jorge Luis Borges Anthony Kerrigan Anthony Bonner,ficciones,Fiction Short Stories Classics Magical Realism Literature Fantasy,Jorge Luis Borges Anthony Kerrigan Anthony Bonner ficciones Fiction Short Stories Classics Magical Realism Literature Fantasy
Nicholas Sparks,the lucky one,Romance Fiction Womens Fiction Chick Lit Contemporary Adult,Nicholas Sparks the lucky one Romance Fiction Womens Fiction Chick Lit Contemporary Adult
Catherine Marshall,christy,Fiction Historical Historical Fiction Christian Fiction Classics Christian Romance Historical,Catherine Marshall christy Fiction Historical Historical Fiction Christian Fiction Classics Christian Romance Historical
Lauren Oliver,pandemonium,Science Fiction Fantasy,Lauren Oliver pandemonium Science Fiction Fantasy
Dale Carnegie,how to win friends and influence people,Nonfiction Self Help Business Psychology Self Help Personal Development,Dale Carnegie how to win friends and influence people Nonfiction Self Help Business Psychology Self Help Personal Development
Terry Pratchett,the color of magic,Fantasy Fiction Humor,Terry Pratchett the color of magic Fantasy Fiction Humor
Tom Clancy,the hunt for red october,Fiction Thriller War Military Fiction Suspense Mystery,Tom Clancy the hunt for red october Fiction Thriller War Military Fiction Suspense Mystery
Helene Hanff,"84, charing cross road",Nonfiction Writing Books About Books Autobiography Memoir Biography,"Helene Hanff 84, charing cross road Nonfiction Writing Books About Books Autobiography Memoir Biography"
Andrew Davidson,the gargoyle,Fiction Fantasy Romance Historical Historical Fiction,Andrew Davidson the gargoyle Fiction Fantasy Romance Historical Historical Fiction
Nicholas Sparks,the wedding,Romance Fiction Womens Fiction Chick Lit Contemporary,Nicholas Sparks the wedding Romance Fiction Womens Fiction Chick Lit Contemporary
Irvine Welsh,trainspotting,Fiction Contemporary Classics,Irvine Welsh trainspotting Fiction Contemporary Classics
Katherine Dunn,geek love,Fiction Horror Fantasy Contemporary,Katherine Dunn geek love Fiction Horror Fantasy Contemporary
Justin Cronin,the passage,Horror Fiction Science Fiction Fantasy Paranormal Vampires Apocalyptic Post Apocalyptic,Justin Cronin the passage Horror Fiction Science Fiction Fantasy Paranormal Vampires Apocalyptic Post Apocalyptic
Mark Twain,a connecticut yankee in king arthur's court,Classics Fiction Fantasy Historical Historical Fiction Humor Science Fiction Time Travel Literature Adventure Science Fiction Mythology Arthurian,Mark Twain a connecticut yankee in king arthur's court Classics Fiction Fantasy Historical Historical Fiction Humor Science Fiction Time Travel Literature Adventure Science Fiction Mythology Arthurian
Robert James Waller,the bridges of madison county,Fiction Romance Classics Womens Fiction Chick Lit,Robert James Waller the bridges of madison county Fiction Romance Classics Womens Fiction Chick Lit
Stephen R. Covey,the 7 habits of highly effective people: powerful lessons in personal change,Nonfiction Self Help Business Self Help Personal Development Leadership Psychology Productivity Business Management Philosophy Audiobook,Stephen R. Covey the 7 habits of highly effective people: powerful lessons in personal change Nonfiction Self Help Business Self Help Personal Development Leadership Psychology Productivity Business Management Philosophy Audiobook
Stieg Larsson Reg Keeland,the millennium trilogy,Mystery Crime Fiction Mystery Thriller Suspense,Stieg Larsson Reg Keeland the millennium trilogy Mystery Crime Fiction Mystery Thriller Suspense
J.R. Ward,lover mine,Romance Paranormal Romance Paranormal Vampires Romance Fantasy,J.R. Ward lover mine Romance Paranormal Romance Paranormal Vampires Romance Fantasy
Richard Llewellyn,how green was my valley,Classics Fiction Historical Historical Fiction,Richard Llewellyn how green was my valley Classics Fiction Historical Historical Fiction
David Wroblewski,the story of edgar sawtelle,Fiction Animals Dogs Animals Adult Fiction,David Wroblewski the story of edgar sawtelle Fiction Animals Dogs Animals Adult Fiction
Jung Chang,wild swans: three daughters of china,Nonfiction History Cultural China Biography Autobiography Memoir Cultural Asia,Jung Chang wild swans: three daughters of china Nonfiction History Cultural China Biography Autobiography Memoir Cultural Asia
Jeanne DuPrau,the city of ember,Young Adult Science Fiction Dystopia Fantasy Science Fiction Fiction,Jeanne DuPrau the city of ember Young Adult Science Fiction Dystopia Fantasy Science Fiction Fiction
Charlaine Harris,dead as a doornail,Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery,Charlaine Harris dead as a doornail Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery
Stephen King,on writing: a memoir of the craft,Nonfiction Language Writing Autobiography Memoir Biography,Stephen King on writing: a memoir of the craft Nonfiction Language Writing Autobiography Memoir Biography
Karen Marie Moning,faefever,Fantasy Urban Fantasy Fantasy Paranormal Fantasy Fairies Fae Romance Paranormal Romance Adult,Karen Marie Moning faefever Fantasy Urban Fantasy Fantasy Paranormal Fantasy Fairies Fae Romance Paranormal Romance Adult
Mildred D. Taylor,"roll of thunder, hear my cry",Historical Historical Fiction Young Adult Classics Childrens Fiction Childrens Middle Grade Cultural African American Academic Read For School Historical Realistic Fiction,"Mildred D. Taylor roll of thunder, hear my cry Historical Historical Fiction Young Adult Classics Childrens Fiction Childrens Middle Grade Cultural African American Academic Read For School Historical Realistic Fiction"
S.C. Stephens,thoughtless,Romance New Adult Contemporary Romance Contemporary Romance Did Not Finish Young Adult,S.C. Stephens thoughtless Romance New Adult Contemporary Romance Contemporary Romance Did Not Finish Young Adult
Billie Letts,where the heart is,Fiction Womens Fiction Chick Lit Romance Contemporary Adult Fiction,Billie Letts where the heart is Fiction Womens Fiction Chick Lit Romance Contemporary Adult Fiction
Charlaine Harris,all together dead,Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery,Charlaine Harris all together dead Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery
Tammara Webber,easy,Romance New Adult Contemporary Young Adult Romance Contemporary Romance Academic College,Tammara Webber easy Romance New Adult Contemporary Young Adult Romance Contemporary Romance Academic College
Dennis Lehane,mystic river,Mystery Fiction Thriller Mystery Crime Thriller Mystery Thriller Suspense,Dennis Lehane mystic river Mystery Fiction Thriller Mystery Crime Thriller Mystery Thriller Suspense
L.J. Smith,the awakening / the struggle,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance,L.J. Smith the awakening / the struggle Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance
Charlaine Harris,from dead to worse,Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery,Charlaine Harris from dead to worse Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery
Johann Wolfgang von Goethe Burton Pike Edla Valdna,the sorrows of young werther,Classics Fiction European Literature German Literature Literature,Johann Wolfgang von Goethe Burton Pike Edla Valdna the sorrows of young werther Classics Fiction European Literature German Literature Literature
Pat Conroy,beach music,Fiction American Southern Contemporary,Pat Conroy beach music Fiction American Southern Contemporary
Bill Bryson,a walk in the woods,Nonfiction Travel Humor Autobiography Memoir Environment Nature Adventure,Bill Bryson a walk in the woods Nonfiction Travel Humor Autobiography Memoir Environment Nature Adventure
Ernest Hemingway,a moveable feast,Classics Nonfiction Autobiography Memoir Biography Travel,Ernest Hemingway a moveable feast Classics Nonfiction Autobiography Memoir Biography Travel
Jane Austen Fiona Stafford,emma,Classics Fiction Romance,Jane Austen Fiona Stafford emma Classics Fiction Romance
Nevil Shute,on the beach,Fiction Science Fiction Apocalyptic Post Apocalyptic Classics Science Fiction Dystopia Science Fiction Apocalyptic,Nevil Shute on the beach Fiction Science Fiction Apocalyptic Post Apocalyptic Classics Science Fiction Dystopia Science Fiction Apocalyptic
Sherrilyn Kenyon,fantasy lover,Romance Romance Paranormal Romance Fantasy Paranormal Fantasy Fantasy Urban Fantasy,Sherrilyn Kenyon fantasy lover Romance Romance Paranormal Romance Fantasy Paranormal Fantasy Fantasy Urban Fantasy
Tom Wolfe,the bonfire of the vanities,Fiction Classics Literature Novels Contemporary,Tom Wolfe the bonfire of the vanities Fiction Classics Literature Novels Contemporary
Jodi Picoult,the pact,Fiction Romance Contemporary Womens Fiction Chick Lit,Jodi Picoult the pact Fiction Romance Contemporary Womens Fiction Chick Lit
Chuck Palahniuk,invisible monsters remix,Fiction Contemporary Novels,Chuck Palahniuk invisible monsters remix Fiction Contemporary Novels
William Shakespeare Katherine Duncan-Jones,sonnets,Poetry Classics Fiction Literature Romance Plays European Literature British Literature Academic School Drama Literature English Literature,William Shakespeare Katherine Duncan-Jones sonnets Poetry Classics Fiction Literature Romance Plays European Literature British Literature Academic School Drama Literature English Literature
Jennifer L. Armentrout,onyx,Young Adult Fantasy Paranormal Romance Science Fiction Aliens Fantasy Science Fiction,Jennifer L. Armentrout onyx Young Adult Fantasy Paranormal Romance Science Fiction Aliens Fantasy Science Fiction
William Shakespeare Antoni Cimolino Shelagh O'Brien,macbeth,Classics Plays Fiction Drama,William Shakespeare Antoni Cimolino Shelagh O'Brien macbeth Classics Plays Fiction Drama
Victoria Aveyard,red queen,Fantasy Young Adult Science Fiction Dystopia Romance,Victoria Aveyard red queen Fantasy Young Adult Science Fiction Dystopia Romance
Samuel Taylor Coleridge Gustave Doré,the rime of the ancient mariner,Poetry Classics Fiction Literature Fantasy Academic School,Samuel Taylor Coleridge Gustave Doré the rime of the ancient mariner Poetry Classics Fiction Literature Fantasy Academic School
Kelley Armstrong,bitten,Fantasy Urban Fantasy Fantasy Paranormal Fantasy Romance Shapeshifters Werewolves Romance Paranormal Romance,Kelley Armstrong bitten Fantasy Urban Fantasy Fantasy Paranormal Fantasy Romance Shapeshifters Werewolves Romance Paranormal Romance
Aprilynne Pike,wings,Fantasy Young Adult Romance Fantasy Paranormal Paranormal Fairies,Aprilynne Pike wings Fantasy Young Adult Romance Fantasy Paranormal Paranormal Fairies
Colleen Houck,tiger's curse,Fantasy Young Adult Romance Fantasy Paranormal,Colleen Houck tiger's curse Fantasy Young Adult Romance Fantasy Paranormal
Robin McKinley,beauty: a retelling of the story of beauty and the beast,Fantasy Romance Fantasy Fairy Tales Young Adult Retellings,Robin McKinley beauty: a retelling of the story of beauty and the beast Fantasy Romance Fantasy Fairy Tales Young Adult Retellings
Dan Brown,deception point,Fiction Thriller Mystery Suspense,Dan Brown deception point Fiction Thriller Mystery Suspense
Jonathan Stroud,the amulet of samarkand,Fantasy Young Adult Fiction Fantasy Magic,Jonathan Stroud the amulet of samarkand Fantasy Young Adult Fiction Fantasy Magic
Anonymous,holy bible: new international version,Religion Christian Nonfiction Classics Religion Christianity,Anonymous holy bible: new international version Religion Christian Nonfiction Classics Religion Christianity
Chuck Palahniuk,choke,Fiction Contemporary Humor Novels,Chuck Palahniuk choke Fiction Contemporary Humor Novels
Donna Tartt,the goldfinch,Fiction Contemporary Literary Fiction,Donna Tartt the goldfinch Fiction Contemporary Literary Fiction
Tom Robbins,still life with woodpecker,Fiction Humor Literature Novels,Tom Robbins still life with woodpecker Fiction Humor Literature Novels
Brian Jacques,redwall,Fantasy Young Adult Fiction Childrens Animals,Brian Jacques redwall Fantasy Young Adult Fiction Childrens Animals
Nancy E. Turner,"these is my words: the diary of sarah agnes prine, 1881-1901, arizona territories",Historical Historical Fiction Fiction Historical Romance Westerns,"Nancy E. Turner these is my words: the diary of sarah agnes prine, 1881-1901, arizona territories Historical Historical Fiction Fiction Historical Romance Westerns"
Krishna-Dwaipayana Vyasa Simon Brodbeck Juan Mascaró,the bhagavad gita,Religion Philosophy Classics Spirituality Nonfiction Poetry,Krishna-Dwaipayana Vyasa Simon Brodbeck Juan Mascaró the bhagavad gita Religion Philosophy Classics Spirituality Nonfiction Poetry
Virginia Woolf,orlando,Classics Fiction Fantasy Historical Historical Fiction Lgbt,Virginia Woolf orlando Classics Fiction Fantasy Historical Historical Fiction Lgbt
Stephen King,the dark tower,Fantasy Fiction Horror,Stephen King the dark tower Fantasy Fiction Horror
Charlaine Harris,dead and gone,Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery,Charlaine Harris dead and gone Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery
Lauren Kate,passion,Young Adult Paranormal Angels Fantasy Fantasy Paranormal Romance,Lauren Kate passion Young Adult Paranormal Angels Fantasy Fantasy Paranormal Romance
Terry Pratchett,mort,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Humor Funny Fantasy Magic Death Science Fiction Novels,Terry Pratchett mort Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Humor Funny Fantasy Magic Death Science Fiction Novels
Cynthia Hand,unearthly,Young Adult Paranormal Angels Fantasy Fantasy Paranormal Romance,Cynthia Hand unearthly Young Adult Paranormal Angels Fantasy Fantasy Paranormal Romance
Pierce Brown,red rising,Science Fiction Fantasy Young Adult Science Fiction Dystopia Fiction,Pierce Brown red rising Science Fiction Fantasy Young Adult Science Fiction Dystopia Fiction
Vladimir Nabokov,pale fire,Fiction Classics Poetry Literature Cultural Russia Novels,Vladimir Nabokov pale fire Fiction Classics Poetry Literature Cultural Russia Novels
Edith Wharton Nina Bawden,the house of mirth,Classics Fiction Literature Historical Historical Fiction,Edith Wharton Nina Bawden the house of mirth Classics Fiction Literature Historical Historical Fiction
Jules Verne Michael Glencross Brian W. Aldiss,around the world in eighty days,Classics Fiction Adventure Science Fiction,Jules Verne Michael Glencross Brian W. Aldiss around the world in eighty days Classics Fiction Adventure Science Fiction
Gary Chapman,the five love languages: how to express heartfelt commitment to your mate,Nonfiction Self Help Relationships Marriage Christian Psychology,Gary Chapman the five love languages: how to express heartfelt commitment to your mate Nonfiction Self Help Relationships Marriage Christian Psychology
Melissa de la Cruz,blue bloods,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal,Melissa de la Cruz blue bloods Young Adult Paranormal Vampires Fantasy Fantasy Paranormal
Chuck Palahniuk,survivor,Fiction Contemporary Novels Thriller,Chuck Palahniuk survivor Fiction Contemporary Novels Thriller
Sarah Dessen,along for the ride,Young Adult Romance Contemporary Womens Fiction Chick Lit,Sarah Dessen along for the ride Young Adult Romance Contemporary Womens Fiction Chick Lit
David Levithan,every day,Young Adult Romance Fantasy Contemporary Fiction,David Levithan every day Young Adult Romance Fantasy Contemporary Fiction
Alex Flinn,beastly,Young Adult Fantasy Romance Fantasy Fairy Tales Retellings,Alex Flinn beastly Young Adult Fantasy Romance Fantasy Fairy Tales Retellings
Junot Díaz,the brief wondrous life of oscar wao,Fiction Contemporary Magical Realism Novels,Junot Díaz the brief wondrous life of oscar wao Fiction Contemporary Magical Realism Novels
Brandon Mull,fablehaven,Fantasy Young Adult Fiction Childrens Middle Grade Childrens,Brandon Mull fablehaven Fantasy Young Adult Fiction Childrens Middle Grade Childrens
Paulo Coelho Margaret Jull Costa,eleven minutes,Fiction Romance Novels Contemporary,Paulo Coelho Margaret Jull Costa eleven minutes Fiction Romance Novels Contemporary
Cormac McCarthy,all the pretty horses,Fiction Westerns Historical Historical Fiction Classics Literature,Cormac McCarthy all the pretty horses Fiction Westerns Historical Historical Fiction Classics Literature
Nicholas Sparks,the guardian,Romance Fiction Womens Fiction Chick Lit Contemporary,Nicholas Sparks the guardian Romance Fiction Womens Fiction Chick Lit Contemporary
Nicholas Evans,the horse whisperer,Fiction Romance Animals Animals Horses Contemporary,Nicholas Evans the horse whisperer Fiction Romance Animals Animals Horses Contemporary
J.M. Coetzee,disgrace,Fiction Cultural Africa Southern Africa South Africa Literature Novels,J.M. Coetzee disgrace Fiction Cultural Africa Southern Africa South Africa Literature Novels
Munro Leaf Robert Lawson,the story of ferdinand,Childrens Picture Books Childrens Classics,Munro Leaf Robert Lawson the story of ferdinand Childrens Picture Books Childrens Classics
Yevgeny Zamyatin Clarence Brown Евгений Замятин,we,Fiction Science Fiction Science Fiction Dystopia Classics Cultural Russia,Yevgeny Zamyatin Clarence Brown Евгений Замятин we Fiction Science Fiction Science Fiction Dystopia Classics Cultural Russia
Richelle Mead,the indigo spell,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance,Richelle Mead the indigo spell Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance
W. Somerset Maugham,the razor's edge,Fiction Classics Literature Novels Philosophy European Literature British Literature Literary Fiction Historical Historical Fiction Literature 20th Century Cultural France,W. Somerset Maugham the razor's edge Fiction Classics Literature Novels Philosophy European Literature British Literature Literary Fiction Historical Historical Fiction Literature 20th Century Cultural France
John Flanagan,the ruins of gorlan,Fantasy Young Adult Adventure Fiction,John Flanagan the ruins of gorlan Fantasy Young Adult Adventure Fiction
Nicholas Sparks,safe haven,Romance Fiction Womens Fiction Chick Lit Contemporary,Nicholas Sparks safe haven Romance Fiction Womens Fiction Chick Lit Contemporary
George Eliot,silas marner,Classics Fiction Literature Historical Historical Fiction,George Eliot silas marner Classics Fiction Literature Historical Historical Fiction
Kim Harrison,dead witch walking,Fantasy Urban Fantasy Fantasy Fantasy Paranormal Paranormal Vampires Paranormal Witches Fantasy Magic,Kim Harrison dead witch walking Fantasy Urban Fantasy Fantasy Fantasy Paranormal Paranormal Vampires Paranormal Witches Fantasy Magic
Dennis Lehane,shutter island,Mystery Fiction Thriller Horror Suspense,Dennis Lehane shutter island Mystery Fiction Thriller Horror Suspense
Sarah Dessen,this lullaby,Young Adult Romance Contemporary Womens Fiction Chick Lit,Sarah Dessen this lullaby Young Adult Romance Contemporary Womens Fiction Chick Lit
Jeaniene Frost,at grave's end,Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Paranormal Romance Romance Fantasy,Jeaniene Frost at grave's end Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Paranormal Romance Romance Fantasy
Louis-Ferdinand Céline Ralph Manheim William T. Vollmann,journey to the end of the night,Fiction Classics Cultural France European Literature French Literature Literature,Louis-Ferdinand Céline Ralph Manheim William T. Vollmann journey to the end of the night Fiction Classics Cultural France European Literature French Literature Literature
Arthur C. Clarke,childhood's end,Science Fiction Fiction Classics,Arthur C. Clarke childhood's end Science Fiction Fiction Classics
John Green David Levithan,"will grayson, will grayson",Young Adult Contemporary Lgbt Fiction,"John Green David Levithan will grayson, will grayson Young Adult Contemporary Lgbt Fiction"
William Shakespeare Chris Abraham Barry Avrich,the taming of the shrew,Classics Plays Fiction Drama,William Shakespeare Chris Abraham Barry Avrich the taming of the shrew Classics Plays Fiction Drama
Erin Hunter,into the wild,Fantasy Animals Young Adult Fiction,Erin Hunter into the wild Fantasy Animals Young Adult Fiction
Nicholas Sparks,a bend in the road,Romance Fiction Womens Fiction Chick Lit Contemporary,Nicholas Sparks a bend in the road Romance Fiction Womens Fiction Chick Lit Contemporary
Richard Bachman Stephen King,the long walk,Horror Fiction Science Fiction Dystopia Thriller Science Fiction,Richard Bachman Stephen King the long walk Horror Fiction Science Fiction Dystopia Thriller Science Fiction
Jenny Han,to all the boys i've loved before,Young Adult Contemporary Romance Fiction,Jenny Han to all the boys i've loved before Young Adult Contemporary Romance Fiction
James Patterson,suzanne's diary for nicholas,Romance Fiction Womens Fiction Chick Lit Contemporary,James Patterson suzanne's diary for nicholas Romance Fiction Womens Fiction Chick Lit Contemporary
Brandon Sanderson,the hero of ages,Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy,Brandon Sanderson the hero of ages Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy
M.M. Kaye,the far pavilions,Historical Historical Fiction Fiction Cultural India Romance Historical Classics Adventure,M.M. Kaye the far pavilions Historical Historical Fiction Fiction Cultural India Romance Historical Classics Adventure
Augusten Burroughs,running with scissors,Autobiography Memoir Nonfiction Biography Humor,Augusten Burroughs running with scissors Autobiography Memoir Nonfiction Biography Humor
Colleen Hoover,ugly love,Romance New Adult Contemporary Romance Contemporary Romance,Colleen Hoover ugly love Romance New Adult Contemporary Romance Contemporary Romance
William Blake,songs of innocence and of experience,Poetry Classics Literature Literature 18th Century Fiction,William Blake songs of innocence and of experience Poetry Classics Literature Literature 18th Century Fiction
Neil Gaiman,the ocean at the end of the lane,Fiction Fantasy Horror Magical Realism Audiobook,Neil Gaiman the ocean at the end of the lane Fiction Fantasy Horror Magical Realism Audiobook
Anonymous,holy bible: king james version,Religion Classics Nonfiction Christian Religion Christianity History Philosophy Reference Spirituality Christianity Lds,Anonymous holy bible: king james version Religion Classics Nonfiction Christian Religion Christianity History Philosophy Reference Spirituality Christianity Lds
John Grisham,the runaway jury,Fiction Thriller Mystery Thriller Legal Thriller,John Grisham the runaway jury Fiction Thriller Mystery Thriller Legal Thriller
Peter Høeg Tiina Nunnally,smilla's sense of snow,Fiction Mystery Mystery Crime Thriller Cultural Denmark European Literature Scandinavian Literature,Peter Høeg Tiina Nunnally smilla's sense of snow Fiction Mystery Mystery Crime Thriller Cultural Denmark European Literature Scandinavian Literature
Stephen King Dave McKean,wizard and glass,Fantasy Fiction Horror Science Fiction,Stephen King Dave McKean wizard and glass Fantasy Fiction Horror Science Fiction
Rachel Hawkins,hex hall,Young Adult Fantasy Fantasy Paranormal Fantasy Magic Paranormal Vampires Romance Paranormal Witches Fantasy Supernatural Fantasy Urban Fantasy Paranormal Demons,Rachel Hawkins hex hall Young Adult Fantasy Fantasy Paranormal Fantasy Magic Paranormal Vampires Romance Paranormal Witches Fantasy Supernatural Fantasy Urban Fantasy Paranormal Demons
Andrea Cremer,nightshade,Young Adult Fantasy Fantasy Paranormal Shapeshifters Werewolves Romance,Andrea Cremer nightshade Young Adult Fantasy Fantasy Paranormal Shapeshifters Werewolves Romance
Dashiell Hammett,the maltese falcon,Mystery Fiction Classics Mystery Crime Mystery Noir,Dashiell Hammett the maltese falcon Mystery Fiction Classics Mystery Crime Mystery Noir
Colleen Hoover,point of retreat,Romance New Adult Young Adult Contemporary,Colleen Hoover point of retreat Romance New Adult Young Adult Contemporary
Don DeLillo,white noise,Fiction Classics Literature Novels Literature American,Don DeLillo white noise Fiction Classics Literature Novels Literature American
William Faulkner,light in august,Fiction Classics Literature Literature American,William Faulkner light in august Fiction Classics Literature Literature American
Ki Longfellow,walks away woman,Adventure Survival Adventure Fiction Literature,Ki Longfellow walks away woman Adventure Survival Adventure Fiction Literature
Lauren Weisberger,the devil wears prada,Womens Fiction Chick Lit Fiction Contemporary Romance,Lauren Weisberger the devil wears prada Womens Fiction Chick Lit Fiction Contemporary Romance
E.M. Forster Oliver Stallybrass Pankaj Mishra,a passage to india,Classics Fiction Cultural India Historical Historical Fiction Literature,E.M. Forster Oliver Stallybrass Pankaj Mishra a passage to india Classics Fiction Cultural India Historical Historical Fiction Literature
